,url_for_product,product_name,product_availability,product_calories,product_price,have_sizes,Protein,Carbs,Fat,Salt,Saturates,Sugars
0,https://mcdonalds-menu.co.uk/bacon-mayo-chicken/,Bacon Mayo Chicken,1,kcal: 332,£ 1.99,1,17.0,38.0,12.0,1.4,2.2,4.6
1,https://mcdonalds-menu.co.uk/mayo-chicken/,Mayo Chicken,1,kcal: 285,£ 1.39,1,12.0,38.0,9.1,1.0,1.1,4.4
2,https://mcdonalds-menu.co.uk/hamburger/,Hamburger,1,kcal: 251,£1.19,1,13.0,30.0,8.3,1.2,3.3,6.3
3,https://mcdonalds-menu.co.uk/fries/,Fries,1,kcal: 237,£ 1.19,3,2.3,29.0,12.0,0.44,1.1,0.4
4,https://mcdonalds-menu.co.uk/cheeseburger/,Cheeseburger,1,kcal: 298,£1.39,1,16.0,31.0,12.0,1.7,5.5,7.0
5,https://mcdonalds-menu.co.uk/double-cheeseburger/,Double Cheeseburger,1,kcal: 438,£ 2.29,1,26.0,33.0,22.0,2.6,11.0,7.8
6,https://mcdonalds-menu.co.uk/bacon-double-cheeseburger/,Bacon Double Cheeseburger,1,kcal: 495,£ 2.89,1,31.0,33.0,25.0,3.0,12.0,8.0
7,https://mcdonalds-menu.co.uk/triple-cheeseburger/,Triple Cheeseburger,1,kcal: 578,£ 2.99,1,37.0,34.0,32.0,3.4,16.0,8.6
8,https://mcdonalds-menu.co.uk/philly-cheese-stack/,Philly Cheese Stack,1,kcal: 643,£ 5.79,1,41.0,31.0,35.0,3.3,17.0,5.5
9,https://mcdonalds-menu.co.uk/double-big-mac/,Big Mac,1,kcal: 493,£ 4.99,1,26.0,42.0,24.0,2.2,8.8,9.4
10,https://mcdonalds-menu.co.uk/mcspicy/,McSpicy,1,kcal: 437,£ 5.59,1,24.0,46.0,17.0,2.0,1.8,6.2
11,https://mcdonalds-menu.co.uk/mccrispy/,McCrispy,1,kcal: 484,£ 5.89,1,26.0,53.0,18.0,1.9,2.0,6.9
12,https://mcdonalds-menu.co.uk/mcplant-burger/,McPlant,1,kcal: 429,£ 4.29,1,19.0,40.0,20.0,2.2,6.6,10.0
13,https://mcdonalds-menu.co.uk/double-mcplant/,Double McPlant 🌱,1,kcal: 590,£ 5.39,1,31.0,43.0,32.0,2.8,10.0,11.0
14,https://mcdonalds-menu.co.uk/triple-cheeseburger/,Triple Cheeseburger,1,kcal: 578,£ 2.99,1,37.0,34.0,32.0,3.4,16.0,8.6
15,https://mcdonalds-menu.co.uk/bacon-mayo-chicken/,Bacon Mayo Chicken,1,kcal: 332,£ 1.59,1,17.0,38.0,12.0,1.4,2.2,4.6
16,https://mcdonalds-menu.co.uk/mayo-chicken/,Mayo Chicken,1,kcal: 285,£ 1.39,1,12.0,38.0,9.1,1.0,1.1,4.4
17,https://mcdonalds-menu.co.uk/quarter-pounder-cheese/,Quarter Pounder with Cheese,1,kcal: 507,£ 4.99,1,32.0,37.0,26.0,2.7,12.0,10.0
18,https://mcdonalds-menu.co.uk/double-quarter-pounder-cheese/,Double Quarter Pounder with Cheese,1,kcal: 739,£ 6.09,1,53.0,37.0,42.0,3.2,19.0,10.0
19,https://mcdonalds-menu.co.uk/filet-o-fish-burger/,Filet-o-Fish,1,kcal: 319,£ 4.69,1,14.0,37.0,12.0,1.6,2.3,4.8
20,https://mcdonalds-menu.co.uk/mcchicken-sandwich/,McChicken Sandwich,1,kcal: 369,£ 4.69,1,17.0,41.0,9.1,1.3,1.5,6.3
21,https://mcdonalds-menu.co.uk/vegetable-deluxe/,Vegetable Deluxe,1,kcal: 361,£ 4.19,1,8.8,51.0,12.0,1.3,1.2,7.3
22,https://mcdonalds-menu.co.uk/hamburger/,Hamburger,1,kcal: 251,£1.19,1,13.0,30.0,8.3,1.2,3.3,6.3
23,https://mcdonalds-menu.co.uk/cheeseburger/,Cheeseburger,1,kcal: 298,£1.39,1,16.0,31.0,12.0,1.7,5.5,7.0
24,https://mcdonalds-menu.co.uk/double-cheeseburger/,Double Cheeseburger,1,kcal: 438,£ 2.29,1,26.0,33.0,22.0,2.6,11.0,7.8
25,https://mcdonalds-menu.co.uk/bacon-double-cheeseburger/,Bacon Double Cheeseburger,1,kcal: 495,£ 2.89,1,31.0,33.0,25.0,3.0,12.0,8.0
26,https://mcdonalds-menu.co.uk/big-tasty/,Big Tasty,0,kcal: 799,£ 5.49,1,45.0,49.0,46.0,3.3,18.0,10.0
27,https://mcdonalds-menu.co.uk/big-tasty-with-bacon/,Big Tasty with Bacon,0,kcal: 845,£ 6.09,1,50.0,49.0,46.0,3.7,19.0,10.0
28,https://mcdonalds-menu.co.uk/chicken-legend-bbq/,Chicken Legend with BBQ Sauce,0,kcal: 484,£ 4.89,1,27.0,61.0,14.0,1.6,1.6,8.4
29,https://mcdonalds-menu.co.uk/chicken-legend-with-cool-mayo-at-mcdonalds/,Chicken Legend with Cool Mayo,0,kcal: 515,£ 4.29,1,27.0,56.0,19.0,1.8,2.1,4.2
30,https://mcdonalds-menu.co.uk/chicken-legend-hot-spicy-mayo/,Chicken Legend with Hot & Spicy Mayo,0,kcal: 519,£ 4.89,1,27.0,56.0,20.0,1.8,2.1,4.5
31,https://mcdonalds-menu.co.uk/chicken-big-mac/,Chicken Big Mac,0,kcal: 529,£ 5.29,1,40.0,36.0,40.0,2.4,15.0,6.5
32,https://mcdonalds-menu.co.uk/steakhous-stack/,Steakhous Stack,0,kcal: 672,£ 5.79,1,40.0,36.0,40.0,2.4,15.0,6.5
33,https://mcdonalds-menu.co.uk/spicy-spanish-stack/,The Spicy Spanish Stack,0,kcal: 581,£ 5.79,1,39.0,33.0,32.0,2.3,15.0,6.9
34,https://mcdonalds-menu.co.uk/chicken-fiesta/,The Chicken Fiesta,0,kcal: 641,£ 5.79,1,31.0,69.0,25.0,3.2,7.1,10.0
35,https://mcdonalds-menu.co.uk/italian-stack-burger/,The Italian Stack,0,kcal: 648,£ 6.19,1,40.0,40.0,34.0,2.5,15.0,9.5
36,https://mcdonalds-menu.co.uk/crispy-chicken-italiano-burger/,Crispy Chicken Italiano,0,kcal: 638,£ 6.19,1,31.0,70.0,25.0,2.5,5.4,7.0
37,https://mcdonalds-menu.co.uk/grand-big-mac/,Grand Big Mac,0,kcal: 693,£ 5.79,1,39.0,50.0,36.0,3.4,14.0,13.0
38,https://mcdonalds-menu.co.uk/grand-big-mac-bacon/,Grand Big Mac with Bacon,0,kcal: 739,£ 6.59,1,44.0,50.0,39.0,3.8,15.0,13.0
39,https://mcdonalds-menu.co.uk/big-mac-double/,Double Big Mac,0,kcal: 694,£ 5.89,1,43.0,43.0,38.0,2.8,15.0,9.1
40,https://mcdonalds-menu.co.uk/double-bacon-big-mac/,Double Big Mac with Bacon,0,kcal: 740,£ 6.69,1,47.0,44.0,41.0,3.2,16.0,9.3
41,https://mcdonalds-menu.co.uk/fries/,Fries,1,kcal: 237,£ 1.19,3,2.3,29.0,12.0,0.44,1.1,0.4
42,https://mcdonalds-menu.co.uk/chilli-cheese-bites/,Chilli Cheese Bites,1,kcal: 231,£ 2.69,2,,21.0,14.0,,,
43,https://mcdonalds-menu.co.uk/chicken-mcnuggets/,Chicken McNuggets,1,kcal: 261,£4.69,2,15.0,21.0,13.0,0.57,1.5,0.6
44,https://mcdonalds-menu.co.uk/20-chicken-mcnuggets/,20 Chicken McNuggets,1,kcal: 869,£5.99,1,50.0,68.0,43.0,1.9,4.9,1.9
45,https://mcdonalds-menu.co.uk/chicken-selects/,Chicken Selects,1,kcal: 359,£4.89,2,25.0,20.0,20.0,1.8,2.2,0.3
46,https://mcdonalds-menu.co.uk/veggie-dippers/,Veggie Dippers,1,kcal: 321,£4.29,1,13.0,30.0,8.3,1.2,3.3,6.3
47,https://mcdonalds-menu.co.uk/cucumber-sticks/,Cucumber Sticks,1,kcal: 12,79P,1,0.8,1.0,0.5,0.01,0.0,1.0
48,https://mcdonalds-menu.co.uk/melon-fruit-bag/,Melon Fruit Bag,1,kcal: 17,79P,1,0.5,3.4,0.1,0.02,0.0,3.4
49,https://mcdonalds-menu.co.uk/mozzarella-dippers/,Mozzarella Dippers,0,kcal: 256,£ 2.29,1,10.0,22.0,14.0,1.1,6.4,1.7
50,https://mcdonalds-menu.co.uk/mozzarella-bites/,Mozzarella Bites,0,kcal: 211,£2.79,1,11.0,14.0,12.0,0.69,4.9,0.8
51,https://mcdonalds-menu.co.uk/mozzarella-dippers-sharebox/,Mozzarella Dippers Sharebox,0,kcal: 769,£ 5.69,1,31.0,66.0,41.0,3.4,18.0,5.1
52,https://mcdonalds-menu.co.uk/halloumi-fries/,Halloumi Fries,0,kcal: 210,£ 2.49,2,11.0,7.6,15.0,1.3,6.7,0.4
53,https://mcdonalds-menu.co.uk/cheese-melt-dippers/,Cheese Melt Dippers,0,kcal: 243,£ 2.59,2,8.2,18.0,15.0,1.9,5.8,1.0
54,https://mcdonalds-menu.co.uk/mcplant-burger/,McPlant 🌱,1,kcal: 429,£ 4.99,1,19.0,40.0,20.0,2.2,6.6,10.0
55,https://mcdonalds-menu.co.uk/double-mcplant/,Double McPlant 🌱,1,kcal: 590,£ 5.39,1,31.0,43.0,32.0,2.8,10.0,11.0
56,https://mcdonalds-menu.co.uk/vegetable-deluxe/,Vegetable Deluxe,1,kcal: 361,£ 4.69,1,8.8,51.0,12.0,1.3,1.2,7.3
57,https://mcdonalds-menu.co.uk/veggie-dippers/,Veggie Dippers 🌱,1,kcal: 321,£4.69,1,13.0,30.0,8.3,1.2,3.3,6.3
58,https://mcdonalds-menu.co.uk/spicy-veggie-one/,The Spicy Veggie One 🌱,1,kcal: 365,£ 4.09,1,8.7,59.0,8.8,1.2,1.3,8.6
59,https://mcdonalds-menu.co.uk/fries/,Fries 🌱,1,kcal: 237,£ 1.19,3,2.3,29.0,12.0,0.44,1.1,0.4
60,https://mcdonalds-menu.co.uk/side-salad/,Side Salad,1,kcal: 18,£ 1.49,1,0.9,2.1,0.5,0.05,0.0,1.9
61,https://mcdonalds-menu.co.uk/cucumber-sticks/,Cucumber Sticks 🌱,1,kcal: 12,79P,1,0.8,1.0,0.5,0.01,0.0,1.0
62,https://mcdonalds-menu.co.uk/melon-fruit-bag/,Melon Fruit Bag 🌱,1,kcal: 17,79P,1,0.5,3.4,0.1,0.02,0.0,3.4
63,https://mcdonalds-menu.co.uk/sugar-donut/,Sugar Donut,1,kcal: 195,£ 1.39,1,3.5,21.0,11.0,0.41,4.3,6.0
64,https://mcdonalds-menu.co.uk/millionaires-donut/,Millionaire's Donut,1,kcal: 250,£ 1.69,1,4.7,26.0,12.0,0.49,6.1,8.6
65,https://mcdonalds-menu.co.uk/mixed-berry-muffin/,Mixed Berry Muffin,1,kcal: 298,£ 1.69,1,5.0,48.0,7.6,0.43,1.1,25.0
66,https://mcdonalds-menu.co.uk/chocolate-brownie/,Chocolate Brownie,1,kcal: 316,£ 1.79,1,3.6,33.0,18.0,0.05,7.1,27.0
67,https://mcdonalds-menu.co.uk/triple-chocolate-cookie/,Triple Chocolate Cookie,1,kcal: 320,£ 1.39,1,3.9,33.0,13.0,0.39,7.2,21.0
68,https://mcdonalds-menu.co.uk/oreo-mcflurry/,Oreo McFlurry,1,kcal: 258,£ 1.19,2,5.2,38.0,9.0,0.27,5.5,32.0
69,https://mcdonalds-menu.co.uk/smarties-mcflurry/,Smarties McFlurry,1,kcal: 273,£ 1.19,2,5.2,40.0,10.0,0.19,6.7,
70,https://mcdonalds-menu.co.uk/maltesers-mcflurry/,Maltesers McFlurry,1,kcal: 266,£ 1.19,2,5.3,38.0,10.0,0.2,6.7,34.0
71,https://mcdonalds-menu.co.uk/caesar-bacon-chicken-one-crispy/,The Caesar & Bacon Chicken One (crispy),1,kcal: 532,£ 4.89,1,32.0,38.0,13.0,1.9,3.0,2.9
72,https://mcdonalds-menu.co.uk/caesar-bacon-chicken-one-grilled/,The Caesar & Bacon Chicken One (grilled),1,kcal: 403,£ 4.89,1,32.0,38.0,13.0,1.9,3.0,2.9
73,https://mcdonalds-menu.co.uk/garlic-mayo-chicken-one-grilled/,The Garlic Mayo Chicken One (grilled),1,kcal: 332,£ 4.89,1,26.0,42.0,7.0,1.9,1.6,6.9
74,https://mcdonalds-menu.co.uk/garlic-mayo-chicken-one-crispy/,The Garlic Mayo Chicken One (crispy),1,kcal: 481,£ 4.89,1,22.0,48.0,21.0,1.9,2.6,3.0
75,https://mcdonalds-menu.co.uk/sweet-chilli-chicken-one-grilled/,The Sweet Chilli Chicken One (grilled),1,kcal: 320,£ 4.89,1,24.0,41.0,5.8,1.6,1.1,7.1
76,https://mcdonalds-menu.co.uk/sweet-chilli-chicken-one-crispy/,The Sweet Chilli Chicken One (crispy),1,kcal: 320,£ 4.89,1,22.0,52.0,18.0,2.1,2.3,6.7
77,https://mcdonalds-menu.co.uk/bbq-and-bacon-chicken-one-grilled/,The BBQ and Bacon Chicken One (grilled),1,kcal: 366,£ 4.89,1,26.0,42.0,7.0,1.9,1.6,6.9
78,https://mcdonalds-menu.co.uk/bbq-and-bacon-chicken-one-crispy/,The BBQ and Bacon Chicken One (crispy),1,kcal: 469,£ 4.89,1,24.0,53.0,20.0,2.3,2.8,6.5
79,https://mcdonalds-menu.co.uk/spicy-veggie-one/,The Spicy Veggie One,1,kcal: 365,£ 4.89,1,8.7,59.0,8.8,1.2,1.3,8.6
80,https://mcdonalds-menu.co.uk/spicy-sriracha-chicken-one-crispy/,The Spicy Sriracha Chicken One (crispy),0,kcal: 432,£ 4.89,1,22.0,49.0,15.0,1.9,2.1,3.5
